sepal_length,sepal_width,petal_length_trans,petal_width_trans
4.9,3,-1.2226113873241298,-1.1222763313860835
4.7,3.2,-1.6416086159320957,-1.1222763313860835
4.6,3.1,-0.8609569660815299,-1.1222763313860835
5,3.6,-1.2226113873241298,-1.1222763313860835
5.4,3.9,-0.5186184425135976,-0.5477077097394836
4.6,3.4,-1.2226113873241298,-0.6904155734792956
5,3.4,-0.8609569660815299,-1.1222763313860835
4.4,2.9,-1.2226113873241298,-1.1222763313860835
4.9,3.1,-0.8609569660815299,-2.0509844984416032
5.4,3.7,-0.8609569660815299,-1.1222763313860835
4.8,3.4,-0.6276986921484892,-1.1222763313860835
4.8,3,-1.2226113873241298,-2.0509844984416032
4.3,3,-2.323837068428347,-2.0509844984416032
5.8,4,-2.0509844984416032,-1.1222763313860835
5.7,4.4,-0.8609569660815299,-0.5477077097394836
5.4,3.9,-1.6416086159320957,-0.5477077097394836
5.1,3.5,-1.2226113873241298,-0.6904155734792956
5.7,3.8,-0.5186184425135976,-0.6904155734792956
5.1,3.8,-0.8609569660815299,-0.6904155734792956
5.4,3.4,-0.5186184425135976,-1.1222763313860835
5.1,3.7,-0.8609569660815299,-0.5477077097394836
4.6,3.6,-2.7108346071422096,-1.1222763313860835
5.1,3.3,-0.5186184425135976,-0.47107959976314234
4.8,3.4,-0.4617016300054604,-1.1222763313860835
5,3,-0.6276986921484892,-1.1222763313860835
5,3.4,-0.6276986921484892,-0.5477077097394836
5.2,3.5,-0.8609569660815299,-1.1222763313860835
5.2,3.4,-1.2226113873241298,-1.1222763313860835
4.7,3.2,-0.6276986921484892,-1.1222763313860835
4.8,3.1,-0.6276986921484892,-1.1222763313860835
5.4,3.4,-0.8609569660815299,-0.5477077097394836
5.2,4.1,-0.8609569660815299,-2.0509844984416032
5.5,4.2,-1.2226113873241298,-1.1222763313860835
4.9,3.1,-0.8609569660815299,-2.0509844984416032
5,3.2,-2.0509844984416032,-1.1222763313860835
5.5,3.5,-1.6416086159320957,-1.1222763313860835
4.9,3.1,-0.8609569660815299,-2.0509844984416032
4.4,3,-1.6416086159320957,-1.1222763313860835
5.1,3.4,-0.8609569660815299,-1.1222763313860835
5,3.5,-1.6416086159320957,-0.6904155734792956
4.5,2.3,-1.6416086159320957,-0.6904155734792956
4.4,3.2,-1.6416086159320957,-1.1222763313860835
5,3.5,-0.6276986921484892,-0.4523640910951265
5.1,3.8,-0.4617016300054604,-0.5477077097394836
4.8,3,-1.2226113873241298,-0.6904155734792956
5.1,3.8,-0.6276986921484892,-1.1222763313860835
4.6,3.2,-1.2226113873241298,-1.1222763313860835
5.3,3.7,-0.8609569660815299,-1.1222763313860835
5,3.3,-1.2226113873241298,-1.1222763313860835
7,3.2,0.290005433869618,0.10956839372556479
6.4,3.2,0.126509210044767,0.28124369873702504
6.9,3.1,0.4523640910951263,0.28124369873702504
5.5,2.3,-0.20326722105010925,-0.06734290036342962
6.5,2.8,0.22047228373139208,0.28124369873702504
5.7,2.8,0.126509210044767,-0.06734290036342962
6.3,3.3,0.290005433869618,0.4245826547751418
4.9,2.4,-0.40624341350034077,-0.37898636836663235
6.6,2.9,0.22047228373139208,-0.06734290036342962
5.2,2.7,-0.272503501471376,0.10956839372556479
5,2,-0.3699638900605392,-0.37898636836663235
5.9,3,-0.07577599372023315,0.28124369873702504
6,2.2,-0.20326722105010925,-0.37898636836663235
6.1,2.9,0.290005433869618,0.10956839372556479
5.6,2.9,-0.343072891727906,-0.06734290036342962
6.7,3.1,0.02523719157043562,0.10956839372556479
5.6,3,0.126509210044767,0.28124369873702504
5.8,2.7,-0.13499294839353826,-0.37898636836663235
6.2,2.2,0.126509210044767,0.28124369873702504
